start_time,datetime,inflow_mean,inflow_mean_ma7,inflow_top10,inflow_total
1731088800000,2024-11-08 18:00:00,37.371865995754995,28.7454734287023,47037.13299412976,73136.74175369252
1731092400000,2024-11-08 19:00:00,43.61031563682814,33.483503385518,52509.03630929102,84298.7401259888
1731096000000,2024-11-08 20:00:00,34.89928338520194,36.11989529874535,37098.177219855555,66308.63843188368
1731099600000,2024-11-08 21:00:00,16.09155943366114,33.75109004969613,20952.445394075392,29173.997253227648
1731103200000,2024-11-08 22:00:00,34.39807542075373,32.63870615123814,36615.23885629133,58407.932064439825
1731106800000,2024-11-08 23:00:00,6.726126072056063,28.4241362952512,8094.270043519383,11521.853961432036
1731110400000,2024-11-09 00:00:00,22.78911322551894,27.983762738539276,18511.18556686871,28623.126211251787
1731114000000,2024-11-09 01:00:00,10.762880817041722,24.18247914158024,8334.218886875198,14637.517911176745
1731117600000,2024-11-09 02:00:00,33.591240660195474,22.751182716346996,34745.12583280103,38764.29172186558
1731121200000,2024-11-09 03:00:00,20.32880659515324,20.66968603205433,23191.025893594164,26569.750219865284
1731124800000,2024-11-09 04:00:00,12.30271911675444,20.128423129639085,12697.047181394984,14837.079254805853
1731128400000,2024-11-09 05:00:00,23.583424625383376,18.58347301601475,16623.197653969233,27899.191331828533
1731132000000,2024-11-09 06:00:00,158.25832219234533,40.2309296046275,222241.78678436612,241818.71630990368
1731135600000,2024-11-09 07:00:00,40.142443010039926,42.70997671670193,40156.80658484283,54352.86783559406
1731139200000,2024-11-09 08:00:00,9.775575016690128,42.56893303093742,5422.699092834885,11818.670195178363
1731142800000,2024-11-09 09:00:00,17.49455013031137,40.26940581238255,13353.476114517262,23180.278922662565
1731146400000,2024-11-09 10:00:00,12.745028735914609,39.18600897534846,9695.20106791236,15497.954942872162
1731150000000,2024-11-09 11:00:00,39.58396120389081,43.08332927351079,47569.0132328433,51617.48540987361
1731153600000,2024-11-09 12:00:00,10.879712588708315,41.26851326827149,7969.319765150148,13577.881310707977
1731157200000,2024-11-09 13:00:00,8.82903727279688,19.92147256547886,6742.074007709177,10382.947832809132
1731160800000,2024-11-09 14:00:00,23.087240297436757,17.48501503510698,24413.307532287858,32368.310897006333
1731164400000,2024-11-09 15:00:00,11.826874040703396,17.778057752823162,11693.830127820987,16285.605554048576
1731168000000,2024-11-09 16:00:00,31.56185464842715,19.787672683982557,35254.728165770175,41282.90588014272
1731171600000,2024-11-09 17:00:00,11.777400776702354,19.649440118380813,10158.378448240454,15828.826643887964
1731175200000,2024-11-09 18:00:00,20.87715953815632,16.97703988041874,22330.30799525755,27015.044442374277
1731178800000,2024-11-09 19:00:00,30.400537907874693,19.76572921172822,21198.5161136869,44171.98158014193
1731182400000,2024-11-09 20:00:00,24.5781957367771,22.015608992296823,27605.58573038254,33450.92439775363
1731186000000,2024-11-09 21:00:00,15.201241219520323,20.889037695451616,16771.22567460209,19624.80241440074
1731189600000,2024-11-09 22:00:00,29.90024549988334,23.4709479039059,28897.403899780915,39199.22185034706
1731193200000,2024-11-09 23:00:00,30.554039048092047,23.32697424671517,37535.53787675223,52155.74465509312
1731196800000,2024-11-10 00:00:00,10.62044162945024,23.161694368536295,10926.798396645692,16801.53865779028
1731200400000,2024-11-10 01:00:00,17.650449819205008,22.700735837257533,16160.787783182452,27605.30351723663
1731204000000,2024-11-10 02:00:00,10.248498235352455,19.821873026897215,7874.025403081683,15372.747353028684
1731207600000,2024-11-10 03:00:00,20.476395220656816,19.23590152459432,23073.65880206306,30120.777369586176
1731211200000,2024-11-10 04:00:00,28.59896956861863,21.14986271732265,31296.11097273587,40267.34915261503
1731214800000,2024-11-10 05:00:00,47.35775434722094,23.64379255265659,56456.00643394863,94762.86644878912
1731218400000,2024-11-10 06:00:00,52.92456780040792,26.839582374416,62356.13022226165,83091.57144664045
1731222000000,2024-11-10 07:00:00,25.63835005840773,28.98499786426707,25955.583261590546,36406.45708293898
1731225600000,2024-11-10 08:00:00,24.628117291436055,29.981807503157224,32829.290427531865,43222.34584647028
1731229200000,2024-11-10 09:00:00,20.183704178245065,31.401122637856165,19033.358297649414,29286.55476263359
1731232800000,2024-11-10 10:00:00,36.66180872089524,33.71332456646166,40529.660408609954,51253.20859181154
1731236400000,2024-11-10 11:00:00,48.11749870674275,36.50168587190796,57571.98832333279,72753.65804459504
1731240000000,2024-11-10 12:00:00,15.449105823572214,31.943307511386713,14368.657484459683,25089.347857481276
1731243600000,2024-11-10 13:00:00,16.42105685965176,26.728520234135832,17771.600060517358,25978.111951969084
1731247200000,2024-11-10 14:00:00,19.304185481363614,25.823639580272385,22257.22403165859,35345.96361637678
1731250800000,2024-11-10 15:00:00,35.538640496472006,27.38228575242038,43665.09615190547,58887.52730265411
1731254400000,2024-11-10 16:00:00,9.512797139977154,25.857870461239248,7965.940693021993,17389.393171878237
1731258000000,2024-11-10 17:00:00,10.579914331496171,22.131885548467952,12071.42137072575,20175.896630163203
1731261600000,2024-11-10 18:00:00,86.28085131998343,27.583793064645192,146061.50760388456,157548.83451028974
1731265200000,2024-11-10 19:00:00,12.38617324939062,27.146231268333537,13139.67179583452,20932.632791470147
1731268800000,2024-11-10 20:00:00,32.29038872057995,29.413278677037564,35588.73062736196,51277.13728828095
1731272400000,2024-11-10 21:00:00,57.19125348156735,34.82571696278096,47979.11934589051,80582.4761555284
1731276000000,2024-11-10 22:00:00,40.91587452234105,35.59389325219082,45888.67517697182,59368.933931916865
1731279600000,2024-11-10 23:00:00,31.337705310154707,38.71173727650189,42979.37080664845,51675.87605644511
1731283200000,2024-11-11 00:00:00,32.30726774133415,41.815644906478745,33031.80914219607,44260.956805627786
1731286800000,2024-11-11 01:00:00,17.68980357809258,32.01692380049435,19104.39905232566,24588.826973548687
1731290400000,2024-11-11 02:00:00,15.16984730558728,32.41459152280815,15036.496075843856,22769.940805686507
1731294000000,2024-11-11 03:00:00,26.050836056166876,31.523226856463427,28002.73884892695,36861.93301947613
1731297600000,2024-11-11 04:00:00,26.697211102049668,27.166935087960898,28831.199057379596,35106.83259919531
1731301200000,2024-11-11 05:00:00,128.9437324084963,39.74234335741165,141547.90563026108,152153.6042420256
1731304800000,2024-11-11 06:00:00,23.757919528786697,38.65951681721622,15001.812974529845,27559.186653392568
1731308400000,2024-11-11 07:00:00,21.859638884157736,37.16699840904816,15260.959397343226,22908.901550597308
1731312000000,2024-11-11 08:00:00,17.892465580638373,37.19595012369756,12042.844125334235,18214.529961089866
1731315600000,2024-11-11 09:00:00,15.63864378858164,37.26292104983961,8165.296265961051,16232.91225254774
1731319200000,2024-11-11 10:00:00,66.75441237525195,43.07771766685176,66500.50345224695,80305.5580874281
