datetime,signal,return,position,strategy_return,trades,transaction_cost,cum_return,cum_strategy_value,peak,drawdown
2023-12-07,0,-0.010937799830039285,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-08,0,0.0210989467849223,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-09,0,-0.010748820954772142,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-10,0,0.0017309068625768198,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-11,0,-0.05795480483907789,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-12,0,0.005912141697560047,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-13,0,0.03275924364687466,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-14,0,0.003671137026239002,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-15,0,-0.024734850949517106,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-16,0,0.007610560426992041,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-17,0,-0.021067741218424474,0.0,-0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-18,-1,0.03080453661541438,0.0,0.0,0.0,0.0,1.0684949762256022,106849.49762256021,144542.98868420115,-0.26077702837592504
2023-12-19,0,-0.008750530210889007,-1.0,0.007750530210889007,1.0,0.001,1.0767763788190219,107677.63788190219,144542.98868420115,-0.2550476584017694
